return_item_id,return_id,order_id,product_id,product_name,category,quantity_returned,unit_price,cost_price,refunded_amount
1,RTN-89421625,ORD-50555899,490,Comfortable Jeans,Clothing,2,30.89,16.52,61.78
2,RTN-89421625,ORD-50555899,1228,Cozy Lamp,Home,3,116.02,80.62,348.06
3,RTN-78713162,ORD-80519916,592,Cozy Lamp,Home,1,150.51,62.37,150.51
4,RTN-78713162,ORD-80519916,826,Compact Headphones,Electronics,3,217.84,140.73,653.52
5,RTN-78713162,ORD-80519916,922,Modern Chair,Home,3,179.38,93.6,538.14
6,RTN-78713162,ORD-80519916,1104,Compact Camera,Electronics,1,126.7,81.52,126.7
7,RTN-70858135,ORD-06877563,281,Hardcover Anthology,Books,1,155.53,66.57,155.53
8,RTN-70858135,ORD-06877563,689,Educational Car,Toys,1,45.57,19.28,45.57
9,RTN-70858135,ORD-06877563,751,Modern Anthology,Books,1,222.48,141.12,222.48
10,RTN-70858135,ORD-06877563,865,Interactive Doll,Toys,3,58.13,34.75,174.39
11,RTN-70858135,ORD-06877563,989,Rustic Rug,Home,2,169.18,69.86,338.36
12,RTN-97926915,ORD-81238907,597,Stylish Sweater,Clothing,1,208.72,144.42,208.72
13,RTN-66440499,ORD-54904838,201,Compact Speaker,Electronics,1,27.48,15.37,27.48
14,RTN-66440499,ORD-54904838,253,Smart Headphones,Electronics,2,15.86,8.94,31.72
15,RTN-66440499,ORD-54904838,332,Portable Camera,Electronics,3,44.13,26.73,132.39
16,RTN-66440499,ORD-54904838,390,Cozy Chair,Home,3,31.1,12.49,93.3
17,RTN-66440499,ORD-54904838,393,Colorful Car,Toys,2,8.02,4.2,16.04
18,RTN-66440499,ORD-54904838,637,Smart Headphones,Electronics,1,189.63,77.69,189.63
19,RTN-66440499,ORD-54904838,818,Classic Jacket,Clothing,2,121.58,75.82,243.16
20,RTN-66440499,ORD-54904838,875,Cozy Chair,Home,1,133.72,93.4,133.72
21,RTN-00616986,ORD-07656934,3,Fun Doll,Toys,1,180.42,110.13,180.42
22,RTN-00616986,ORD-07656934,150,Modern Anthology,Books,1,158.57,105.64,158.57
23,RTN-00616986,ORD-07656934,317,Colorful Doll,Toys,3,31.76,19.76,95.28
24,RTN-00616986,ORD-07656934,334,Rustic Table,Home,1,188.2,109.48,188.2
25,RTN-00616986,ORD-07656934,1088,Wireless Monitor,Electronics,1,171.14,118.36,171.14
26,RTN-00616986,ORD-07656934,1137,Fun Puzzle,Toys,1,43.67,24.23,43.67
27,RTN-00616986,ORD-07656934,1279,Hardcover Anthology,Books,2,52.0,31.38,104.0
28,RTN-78757858,ORD-24073083,256,Classic Memoir,Books,1,247.34,139.23,247.34
29,RTN-91694722,ORD-99694993,831,Portable Speaker,Electronics,1,21.32,12.75,21.32
30,RTN-89654248,ORD-86807050,1107,Rustic Lamp,Home,2,180.84,103.7,361.68
31,RTN-89654248,ORD-86807050,882,Elegant Rug,Home,2,122.97,72.33,245.94
32,RTN-89654248,ORD-86807050,861,Hardcover Guide,Books,3,217.86,98.83,653.58
33,RTN-64787874,ORD-10773518,110,ILLUSTRATED GUIDE,Books,1,51.93,32.28,51.93
34,RTN-64787874,ORD-10773518,217,  Comfortable Jeans  ,Clothing,2,67.71,30.61,135.42
35,RTN-64787874,ORD-10773518,539,Modern Guide,Books,1,140.63,91.72,140.63
36,RTN-64787874,ORD-10773518,783, Smart Headphones  ,Electronics,2,176.83,112.72,353.66
37,RTN-64787874,ORD-10773518,1051,Wireless Camera,Electronics,1,125.8,86.95,125.8
38,RTN-72319373,ORD-26846412,181,Hardcover Guide,Books,1,137.35,87.84,137.35
39,RTN-72319373,ORD-26846412,1233,Elegant Chair,Home,1,170.82,88.97,170.82
40,RTN-20288478,ORD-80568620,389,Wireless Camera,Electronics,1,42.78,26.25,42.78
41,RTN-20288478,ORD-80568620,465,Educational Blocks,Toys,2,25.48,10.8,50.96
42,RTN-20288478,ORD-80568620,617,Cozy Lamp,Home,3,245.26,152.94,735.78
