cart_id,customer_id,created_at,updated_at,cart_total,status
CART-70561512,GUEST-102841,2025-09-04T08:02:23,2025-09-04T08:06:00,501.11,abandoned
CART-32087134,CUST-5262,2025-08-19T04:13:28,2025-08-19T04:30:34,4759.24,abandoned
CART-31139991,CUST-7867,2025-12-28T19:51:23,2025-12-28T20:06:29,0.0,emptied
CART-08004354,CUST-8283,2025-07-03T01:18:27,2025-07-03T01:20:05,241.68,converted
CART-09815415,CUST-8886,2025-07-02T00:39:28,2025-07-02T00:48:02,1463.55,abandoned
CART-31014279,CUST-10979,2026-03-06T16:45:07,2026-03-06T16:49:15,0.0,emptied
CART-51562667,CUST-7723,2026-04-10T00:10:07,2026-04-10T00:26:18,2777.36,abandoned
CART-48129399,CUST-9032,2026-04-14T16:56:14,2026-04-14T17:02:53,506.51, abandoned  
CART-54233739,CUST-10329,2026-01-04T20:10:52,2026-01-04T20:48:47,6498.77,converted
CART-81863469,GUEST-102463,2026-02-24T05:40:07,2026-02-24T05:45:44,841.6,abandoned
CART-05113528,CUST-9260,2026-02-09T06:17:49,2026-02-09T06:43:27,1185.9,abandoned
CART-24648945,GUEST-100122,2026-01-16T21:44:56,2026-01-16T21:51:05,0.0,emptied
CART-44843947,GUEST-103789,2026-02-18T20:57:21,2026-02-18T21:07:09,392.64,abandoned
CART-36221300,GUEST-101097,2025-08-02T20:45:55,2025-08-02T20:50:44,465.14,abandoned
CART-13727104,CUST-8961,2026-03-05T06:08:07,2026-03-05T06:18:09,1340.94,abandoned
CART-11987387,GUEST-103150,2025-09-25T16:24:23,2025-09-25T16:40:54,1660.81,converted
CART-62088167,CUST-8616,2025-11-02T09:04:54,2025-11-02T09:14:57,1574.24,abandoned
CART-66656460,GUEST-102455,2026-02-25T14:22:09,2026-02-25T14:42:27,1819.43,abandoned
CART-23381134,CUST-10148,2025-10-19T02:59:53,2025-10-19T03:04:57,1345.84,abandoned
CART-67192478,GUEST-100410,2025-11-13T10:02:05,2025-11-13T10:15:56,947.75,abandoned
CART-23332376,CUST-6123,2026-04-14T10:10:24,2026-04-14T10:27:21,1577.55,abandoned
CART-58740649,GUEST-101379,2025-09-04T15:42:45,2025-09-04T15:49:24,240.46,abandoned
CART-91443073,CUST-9827,2026-01-28T01:15:53,2026-01-28T01:31:57,3771.33,abandoned
CART-55577856,GUEST-103555,2026-04-05T16:00:20,2026-04-05T16:18:20,2455.2,converted
CART-42677649,CUST-6261,2025-05-31T20:08:24,2025-05-31T20:13:59,842.23,converted
CART-18893304,GUEST-100440,2025-11-10T03:57:01,2025-11-10T04:12:02,2172.47,abandoned
CART-85789406,GUEST-102556,2025-04-19T07:57:12,2025-04-19T08:14:09,1194.82,abandoned
CART-41800142,CUST-7131,2025-05-15T12:27:33,2025-05-15T12:39:28,516.96,abandoned
CART-53711071,CUST-10292,2026-02-10T00:20:08,2026-02-10T00:23:08,345.36,abandoned
CART-91630799,CUST-10457,2025-05-15T19:17:37,2025-05-15T19:24:36,0.0, emptied  
CART-38960759,CUST-10399,2025-11-05T20:54:59,2025-11-05T21:07:49,2091.93,converted
CART-16446855,GUEST-101137,2025-06-17T05:40:25,2025-06-17T05:50:21,339.64,abandoned
CART-66832244,CUST-6771,2026-03-23T02:18:14,2026-03-23T02:22:28,222.55,abandoned
CART-31553375,CUST-8272,2025-11-19T00:18:18,2025-11-19T00:30:50,2351.26,abandoned
CART-43054211,GUEST-101020,2025-07-23T18:38:14,2025-07-23T18:47:17,72.28,converted
CART-72961306,CUST-5943,2026-03-01T14:55:39,2026-03-01T15:00:09,650.67,abandoned
CART-54914001,CUST-10194,2025-10-16T08:08:59,2025-10-16T08:18:00,2630.37,ABANDONED
CART-95564693,GUEST-101740,2026-02-28T10:27:58,2026-02-28T10:43:39,807.89,abandoned
CART-43483021,GUEST-103969,2025-10-25T01:07:19,2025-10-25T01:21:30,1329.77,abandoned
CART-94306556,CUST-7009,2026-02-09T13:02:51,2026-02-09T13:11:36,0.0,emptied
CART-61267084,CUST-5212,2025-06-16T18:22:39,2025-06-16T18:31:05,1241.33,abandoned
CART-04231662,CUST-9858,2025-08-17T02:03:10,2025-08-17T02:08:00,829.63,abandoned
CART-10093866,CUST-8127,2025-12-02T06:56:00,2025-12-02T07:06:59,2679.87,abandoned
CART-78127177,CUST-9505,2026-03-15T09:40:32,2026-03-15T09:55:30,0.0,emptied
CART-95321339,CUST-7348,2025-05-10T03:42:56,2025-05-10T03:53:17,905.89,abandoned
CART-33810863,CUST-10351,2025-08-28T19:54:23,2025-08-28T20:11:53,2662.88,abandoned
CART-75356403,GUEST-103117,2026-03-18T06:47:46,2026-03-18T07:05:15,2570.57, converted 
CART-61398617,CUST-9358,2025-06-23T23:25:32,2025-06-23T23:29:26,193.36,abandoned
CART-31079330,GUEST-100445,2026-03-22T15:20:21,2026-03-22T15:33:40,432.04,abandoned
CART-84701981,GUEST-100132,2025-10-06T23:55:21,2025-10-07T00:02:43,827.61,abandoned
CART-13433144,GUEST-102484,2025-12-11T05:13:45,2025-12-11T05:24:51,0.0,emptied
CART-28066919,GUEST-103704,2025-04-18T13:42:26,2025-04-18T14:07:51,3756.94,abandoned
CART-01141458,GUEST-103521,2025-12-19T23:43:56,2025-12-20T00:09:36,0.0,emptied
CART-71931905,CUST-8529,2025-10-30T03:51:02,2025-10-30T04:01:09,1323.57,abandoned
CART-08468295,CUST-8381,2025-09-01T03:02:45,,0.0,emptied
CART-66142555,CUST-9103,2025-12-27T03:09:15,2025-12-27T03:34:33,4454.28,abandoned
CART-40930120,CUST-10653,2025-10-06T04:20:30,2025-10-06T04:32:25,847.3,abandoned
CART-41067358,GUEST-101812,2025-06-04T12:46:26,2025-06-04T12:53:30,784.96,abandoned
CART-36432966,CUST-6616,2025-10-25T04:49:30,2025-10-25T05:03:17,4457.06,abandoned
CART-71373948,GUEST-101336,2025-04-17T13:44:52,2025-04-17T13:53:11,1333.88,abandoned
CART-10695081,GUEST-101090,2025-05-11T07:50:24,2025-05-11T07:52:14,365.04,abandoned
CART-49779524,GUEST-102961,2025-07-22T10:11:24,2025-07-22T10:17:42,495.35,abandoned
CART-56528227,CUST-11002,2025-05-21T02:58:55,2025-05-21T03:15:28,2587.97,abandoned
CART-43172211,CUST-8251,2025-06-10T05:27:40,2025-06-10T05:39:21,665.31,abandoned
CART-92193326,GUEST-102319,2026-01-03T22:42:59,2026-01-03T23:01:53,1981.92,abandoned
CART-69255828,CUST-9543,2025-11-12T15:39:26,2025-11-12T16:04:49,3696.45,abandoned
CART-70971863,GUEST-103671,2025-10-27T17:56:35,2025-10-27T18:10:13,1921.42,abandoned
CART-47838938,CUST-9530,2025-12-25T12:49:22,2025-12-25T13:10:18,0.0,emptied
CART-47773547,CUST-5462,2025-07-14T14:47:34,2025-07-14T14:58:14,0.0,EMPTIED
CART-99285835,GUEST-102573,2025-12-19T22:47:24,2025-12-19T22:48:34,0.0,emptied
CART-73209227,CUST-9527,2025-10-05T16:03:36,2025-10-05T16:09:34,614.84,abandoned
CART-23683647,GUEST-101409,2025-07-15T15:39:51,2025-07-15T15:50:22,908.11,converted
CART-02312872,GUEST-101612,2025-05-26T01:37:24,2025-05-26T02:04:06,2306.28,abandoned
CART-50923654,CUST-7521,2025-05-05T16:19:54,2025-05-05T16:31:48,1859.23,abandoned
CART-34135301,GUEST-101681,2026-01-30T08:14:32,2026-01-30T08:27:03,1345.59,abandoned
CART-06490154,GUEST-101419,2026-01-06T11:59:08,2026-01-06T12:12:52,2472.03,abandoned
CART-62929298,CUST-7627,2025-05-19T00:56:13,2025-05-19T01:17:53,4358.26,converted
CART-04518582,GUEST-102374,2025-04-30T16:34:06,2025-04-30T16:43:02,238.28,abandoned
CART-88650699,CUST-5499,2025-06-29T12:06:49,2025-06-29T12:14:37,0.0,emptied
CART-84084621,CUST-7377,2025-11-08T21:02:13,2025-11-08T21:37:01,9254.4,abandoned
CART-10981247,GUEST-102151,2025-07-02T21:44:51,2025-07-02T21:59:34,1999.39,abandoned
CART-63570939,GUEST-101488,2026-04-12T09:05:13,2026-04-12T09:13:44,452.93,  abandoned  
CART-22902297,CUST-6307,2025-10-25T05:15:17,2025-10-25T05:29:28,546.75,converted
CART-66119083,CUST-9967,2025-08-11T04:35:43,2025-08-11T04:39:58,435.14,abandoned
CART-35425567,CUST-5109,2025-10-20T19:20:33,2025-10-20T19:25:32,778.52,converted
CART-52707003,CUST-5501,2025-11-05T14:12:50,2025-11-05T14:16:56,321.74,abandoned
CART-34680177,CUST-9770,2026-02-08T15:07:26,2026-02-08T15:15:05,737.75,abandoned
CART-56655731,GUEST-100175,2025-12-14T22:26:20,2025-12-14T22:39:14,1375.06,abandoned
